EmpID,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
RM1110,4,2,1,3.0,No
RM1142,6,4,1,1.0,No
RM1234,10,0,0,8.0,No
RM1245,9,7,0,7.0,No
RM1247,4,2,1,2.0,Yes
RM1252,7,7,1,7.0,No
RM1260,7,0,1,7.0,No
RM1297,7,7,0,2.0,No
RM1339,1,0,0,0.0,Yes
RM1413,12,8,1,7.0,No
RM013,5,2,4,3.0,No
RM059,7,7,1,7.0,No
RM073,1,1,1,,No
RM076,11,7,1,,No
RM125,7,7,7,7.0,Yes
RM133,2,2,2,2.0,Yes
RM181,4,2,0,2.0,No
RM225,5,4,1,4.0,No
RM246,2,2,2,2.0,No
RM260,5,4,1,4.0,Yes
RM267,9,0,7,8.0,No
RM293,2,2,2,2.0,No
RM304,8,7,7,7.0,No
RM310,5,2,0,3.0,No
RM311,2,2,1,0.0,No
RM313,2,2,2,2.0,No
RM322,7,7,1,7.0,No
RM326,10,9,8,9.0,No
RM343,11,9,4,10.0,No
RM370,2,2,2,2.0,No
RM395,13,10,3,12.0,No
RM400,4,2,3,2.0,No
RM435,13,8,0,8.0,No
RM440,1,0,0,0.0,Yes
RM451,6,5,0,5.0,No
RM457,5,4,0,1.0,No
RM483,3,1,1,2.0,Yes
RM485,7,7,5,7.0,No
RM645,6,4,0,2.0,No
RM676,7,7,5,2.0,No
RM680,9,8,0,0.0,No
RM691,9,7,8,5.0,No
RM710,3,2,1,2.0,Yes
RM727,4,3,0,3.0,No
RM819,2,2,2,2.0,No
RM832,2,2,2,2.0,Yes
RM896,6,5,0,1.0,No
RM897,10,9,1,8.0,No
RM951,10,8,9,6.0,No
RM953,3,2,2,2.0,Yes
RM981,1,0,0,0.0,Yes
RM986,10,2,6,7.0,Yes
RM1013,1,0,0,0.0,Yes
RM1015,3,2,1,0.0,No
RM1017,1,0,0,0.0,Yes
RM1031,13,7,9,9.0,No
RM1034,10,8,4,7.0,Yes
RM1036,3,2,0,2.0,No
RM1037,2,2,2,2.0,Yes
RM1086,7,2,7,7.0,Yes
RM1145,5,2,0,3.0,No
RM1192,10,0,0,2.0,No
RM1228,5,2,0,3.0,No
RM1240,5,4,1,4.0,No
RM1248,5,2,0,2.0,No
RM1258,1,0,0,0.0,Yes
RM1275,12,7,5,7.0,No
RM1307,3,2,2,2.0,No
RM1313,1,0,0,0.0,Yes
RM1342,10,8,0,2.0,No
RM1359,5,2,1,4.0,No
RM1361,2,2,2,2.0,No
RM1383,4,2,2,3.0,No
RM1390,10,8,8,7.0,No
RM1396,10,7,0,8.0,Yes
RM1403,1,0,0,0.0,No
RM1406,11,7,4,8.0,No
RM1418,2,2,1,2.0,No
RM1464,9,4,1,7.0,No
RM1464,9,4,1,7.0,No
RM006,7,7,3,6.0,No
RM017,6,2,0,5.0,No
RM027,10,2,6,,Yes
RM061,9,8,7,8.0,No
RM074,10,4,0,,No
RM095,11,8,5,7.0,No
RM102,1,0,0,0.0,No
RM141,5,4,0,,Yes
RM145,8,7,0,,No
RM155,9,8,3,7.0,No
RM170,5,4,1,4.0,No
RM211,14,8,9,,Yes
RM239,4,3,1,2.0,No
RM240,3,2,1,2.0,Yes
RM242,3,2,2,2.0,No
RM261,5,1,0,3.0,No
RM263,6,2,0,4.0,No
RM307,13,8,4,8.0,No
RM320,13,12,11,9.0,No
RM323,7,7,0,7.0,No
RM352,8,0,0,7.0,No
RM470,4,2,1,2.0,Yes
RM501,6,4,0,5.0,No
RM528,10,7,0,8.0,No
RM532,7,7,7,7.0,No
RM559,10,8,4,7.0,No
RM601,14,13,6,8.0,No
RM623,5,2,0,3.0,No
RM627,5,3,1,3.0,No
RM638,3,0,0,2.0,No
RM642,10,8,5,3.0,No
RM657,1,0,0,1.0,Yes
RM683,3,0,0,2.0,No
RM693,8,7,6,3.0,No
RM757,8,7,7,7.0,No
RM851,1,0,0,0.0,No
RM881,2,2,2,2.0,No
RM882,8,7,0,7.0,No
RM936,10,7,0,8.0,No
RM940,10,4,1,1.0,Yes
RM992,3,2,1,2.0,No
RM1027,4,3,0,3.0,No
RM1076,5,2,0,0.0,No
RM1102,7,1,2,5.0,No
RM1114,6,5,1,2.0,No
RM1140,3,2,0,2.0,No
RM1191,9,5,1,6.0,No
RM1206,1,0,0,0.0,Yes
RM1227,5,2,1,3.0,No
RM1238,0,0,0,0.0,Yes
RM1242,4,3,0,2.0,No
RM1261,7,7,0,7.0,No
RM1320,0,0,0,0.0,No
RM1327,2,2,2,2.0,Yes
RM1376,4,1,0,3.0,Yes
RM1389,5,1,1,2.0,No
RM1395,1,0,0,0.0,No
RM1427,6,2,4,1.0,No
RM1429,2,2,2,2.0,No
RM1432,14,10,5,7.0,No
RM1450,4,2,1,2.0,No
RM004,8,7,3,0.0,No
RM031,1,1,0,,No
RM040,5,3,1,3.0,No
RM056,15,14,8,12.0,No
RM122,7,7,0,7.0,No
RM177,3,1,0,2.0,No
RM186,8,7,1,6.0,No
RM222,3,2,1,1.0,No
RM235,5,4,0,4.0,Yes
RM237,9,7,1,7.0,Yes
RM247,2,2,0,2.0,No
RM314,10,6,8,8.0,No
RM329,7,7,0,1.0,No
RM364,1,0,0,0.0,Yes
RM436,7,6,7,7.0,Yes
RM437,4,3,1,3.0,Yes
RM456,6,1,0,5.0,No
RM500,5,0,1,2.0,No
RM510,13,11,4,7.0,No
RM515,10,8,9,7.0,Yes
RM563,10,9,7,8.0,Yes
RM591,13,9,3,7.0,No
RM592,3,2,0,2.0,Yes
RM620,9,8,0,8.0,No
RM656,4,3,0,3.0,No
RM674,3,2,0,2.0,No
RM695,5,0,1,4.0,No
RM711,10,8,6,0.0,No
RM713,3,2,0,2.0,No
RM716,6,5,1,2.0,No
RM755,2,2,2,2.0,No
RM791,3,2,1,2.0,No
RM793,13,7,3,8.0,Yes
RM799,2,2,2,2.0,Yes
RM803,3,2,0,2.0,No
RM830,5,2,0,3.0,Yes
RM864,5,4,1,4.0,No
RM873,10,7,0,1.0,No
RM884,14,10,4,10.0,No
RM909,9,8,0,8.0,No
RM991,5,4,1,2.0,No
RM1048,4,3,0,3.0,No
RM1067,5,4,0,2.0,No
RM1075,0,0,0,0.0,No
RM1092,5,3,0,2.0,No
RM1096,15,14,5,7.0,No
RM1106,2,2,2,2.0,No
RM1190,6,2,0,4.0,No
RM1199,6,5,1,2.0,No
RM1211,14,11,2,13.0,No
RM1254,11,7,1,7.0,No
RM1256,0,0,0,0.0,Yes
RM1266,9,8,1,7.0,No
RM1283,10,8,7,6.0,No
RM1364,10,4,0,9.0,No
RM1399,9,7,2,8.0,No
RM1416,1,1,0,0.0,No
RM1426,9,7,8,1.0,No
RM014,2,2,1,2.0,No
RM023,12,6,2,,No
RM025,4,2,1,,Yes
RM047,9,5,8,7.0,No
RM085,5,2,1,3.0,No
RM104,16,13,2,10.0,No
RM112,9,7,0,6.0,Yes
RM115,1,0,0,0.0,No
RM117,11,10,5,8.0,No
RM160,4,3,1,2.0,No
RM182,3,2,1,2.0,No
RM189,10,9,1,9.0,No
RM203,5,3,2,0.0,No
RM248,11,9,5,9.0,No
RM379,5,2,0,4.0,Yes
RM394,3,2,1,2.0,No
RM416,2,2,1,0.0,Yes
RM433,7,3,5,7.0,No
RM441,3,2,0,2.0,Yes
RM463,10,7,5,7.0,No
RM482,6,5,1,3.0,No
RM495,8,2,0,6.0,No
RM504,10,9,8,8.0,No
RM525,8,7,7,7.0,No
RM550,5,1,4,3.0,No
RM561,0,0,0,0.0,No
RM568,6,5,1,4.0,No
RM575,4,2,1,3.0,No
RM580,6,5,1,3.0,No
RM584,3,2,1,2.0,No
RM607,5,2,1,3.0,No
RM614,3,2,0,2.0,No
RM672,1,0,1,0.0,No
RM758,15,1,0,9.0,No
RM764,1,1,0,0.0,No
RM795,6,2,0,4.0,No
RM804,0,0,0,0.0,No
RM823,3,2,0,2.0,No
RM835,6,5,1,3.0,No
RM848,13,9,4,9.0,No
RM907,1,0,0,0.0,No
RM918,3,2,0,2.0,No
RM921,11,8,5,10.0,No
RM924,10,9,1,8.0,No
RM959,9,7,1,6.0,No
RM965,10,8,9,6.0,No
RM978,5,4,0,0.0,No
RM980,8,7,7,7.0,No
RM984,14,11,4,11.0,No
RM1016,4,3,1,3.0,No
RM1028,5,4,0,2.0,No
RM1040,2,2,2,2.0,Yes
RM1049,13,9,3,12.0,No
RM1056,14,8,6,9.0,No
RM1059,15,9,10,10.0,Yes
RM1085,10,9,8,6.0,No
RM1088,11,10,5,7.0,No
RM1116,1,0,0,0.0,No
RM1118,2,2,2,1.0,No
RM1132,8,2,7,7.0,No
RM1147,9,7,7,2.0,No
RM1180,11,8,7,9.0,No
RM1209,15,10,4,13.0,No
RM1213,10,9,8,7.0,No
RM1253,5,0,1,2.0,No
RM1268,15,14,0,7.0,No
RM1271,2,2,2,2.0,No
RM1291,7,1,0,7.0,Yes
RM1301,10,8,4,8.0,No
RM1343,5,3,1,0.0,No
RM1354,5,2,3,0.0,Yes
RM1360,4,2,0,1.0,No
RM1369,15,10,6,11.0,No
RM1385,14,8,2,1.0,No
RM1386,8,7,1,1.0,No
RM1447,8,7,1,7.0,No
RM1470,4,3,1,2.0,No
RM1470,4,3,1,2.0,No
RM011,5,4,0,3.0,No
RM038,2,2,2,2.0,No
RM041,1,0,0,0.0,No
RM050,1,0,0,1.0,No
RM054,4,0,2,3.0,No
RM057,9,8,1,8.0,No
RM058,2,2,2,2.0,No
RM069,3,2,1,2.0,No
RM077,15,13,2,,No
RM082,6,4,0,4.0,No
RM152,10,8,0,6.0,No
RM193,1,0,0,1.0,Yes
RM197,6,2,1,2.0,No
RM229,10,7,0,8.0,No
RM277,7,7,6,2.0,No
RM298,11,9,6,9.0,No
RM345,16,6,0,13.0,No
RM373,1,1,0,0.0,No
RM431,5,4,4,3.0,No
RM439,8,7,0,0.0,No
RM448,11,9,6,9.0,No
RM462,5,4,0,3.0,No
RM484,3,2,0,2.0,No
RM509,17,11,11,8.0,No
RM516,1,0,0,0.0,No
RM558,1,0,0,0.0,No
RM581,3,2,0,2.0,No
RM597,2,2,2,2.0,No
RM612,8,5,1,6.0,No
RM621,6,5,1,1.0,No
RM636,17,14,5,15.0,No
RM637,10,2,7,8.0,Yes
RM648,13,10,4,8.0,No
RM677,10,6,0,7.0,No
RM699,5,2,1,0.0,No
RM705,10,9,0,8.0,No
RM726,4,2,0,2.0,Yes
RM730,16,10,10,1.0,No
RM741,3,2,1,2.0,No
RM792,8,7,4,7.0,Yes
RM821,5,2,0,2.0,No
RM836,5,4,1,4.0,No
RM841,8,0,1,7.0,No
RM847,7,7,6,4.0,No
RM849,2,2,2,2.0,No
RM871,7,7,1,7.0,No
RM889,13,2,4,12.0,No
RM925,3,2,2,2.0,No
RM962,9,6,1,1.0,No
RM974,9,7,0,0.0,No
RM982,4,2,3,2.0,Yes
RM1003,2,2,2,2.0,No
RM1060,1,0,0,0.0,No
RM1082,11,8,3,3.0,No
RM1101,5,3,4,2.0,No
RM1109,3,0,1,2.0,No
RM1111,1,0,0,0.0,Yes
RM1124,5,2,0,4.0,No
RM1131,10,9,6,8.0,No
RM1135,1,0,0,1.0,No
RM1151,16,15,1,10.0,No
RM1158,14,11,2,9.0,No
RM1163,13,12,6,0.0,Yes
RM1168,2,2,2,2.0,Yes
RM1187,11,9,6,7.0,Yes
RM1216,5,4,1,4.0,No
RM1233,7,7,0,7.0,No
RM1282,10,7,7,7.0,Yes
RM1289,7,7,1,7.0,No
RM1303,5,4,0,3.0,No
RM1346,3,2,0,2.0,No
RM1381,5,3,0,4.0,No
RM1393,10,8,0,9.0,No
RM1423,2,2,2,2.0,No
RM1425,10,7,0,8.0,No
RM1451,9,0,1,7.0,No
RM1457,10,2,0,2.0,No
RM1459,4,3,1,1.0,No
RM010,7,7,7,7.0,No
RM022,5,3,0,3.0,Yes
RM039,1,1,0,0.0,No
RM065,17,14,12,8.0,No
RM067,6,5,0,3.0,No
RM070,1,0,0,,Yes
RM075,1,0,0,,No
RM118,9,7,2,8.0,No
RM119,1,0,0,0.0,No
RM136,3,2,0,1.0,No
RM173,8,7,7,2.0,No
RM208,8,1,1,,No
RM221,13,11,3,7.0,No
RM270,15,13,10,11.0,No
RM292,8,0,7,7.0,No
RM299,1,0,0,0.0,No
RM306,9,8,0,8.0,No
RM359,1,0,0,,No
RM360,13,9,1,,No
RM378,2,2,2,2.0,No
RM385,10,9,9,0.0,No
RM443,10,3,9,7.0,No
RM512,3,2,0,2.0,No
RM542,8,7,0,5.0,No
RM570,10,7,0,9.0,No
RM594,9,7,0,5.0,No
RM600,5,2,0,4.0,No
RM622,18,14,4,11.0,No
RM634,5,4,0,3.0,No
RM665,16,8,4,11.0,No
RM681,6,2,0,1.0,No
RM688,11,8,3,9.0,No
RM694,16,7,3,7.0,Yes
RM709,7,7,0,7.0,No
RM753,17,13,15,14.0,Yes
RM762,1,0,0,0.0,Yes
RM774,14,8,7,8.0,No
RM818,11,9,0,9.0,No
RM874,7,7,1,7.0,No
RM883,7,7,7,7.0,No
RM901,11,10,0,7.0,No
RM928,16,14,5,12.0,No
RM943,7,7,1,7.0,No
RM969,15,7,6,13.0,No
RM1012,5,4,0,1.0,No
RM1019,10,4,1,8.0,No
RM1020,3,2,0,2.0,No
RM1103,3,2,1,2.0,No
RM1122,1,0,0,0.0,No
RM1129,3,2,0,2.0,No
RM1146,3,2,1,1.0,No
RM1174,3,2,0,2.0,No
RM1181,4,3,1,3.0,No
RM1183,3,2,1,2.0,No
RM1184,5,4,0,4.0,No
RM1200,3,2,0,2.0,No
RM1221,13,7,6,7.0,No
RM1237,2,2,2,2.0,Yes
RM1279,12,8,5,7.0,No
RM1316,1,0,0,0.0,No
RM1341,10,9,1,7.0,No
RM1348,10,1,0,8.0,No
RM1356,4,2,1,3.0,No
RM1384,5,4,0,2.0,No
RM1440,9,7,3,4.0,No
RM1441,4,2,0,2.0,No
RM1448,15,12,11,11.0,No
RM1454,6,3,0,0.0,No
RM1466,5,2,0,3.0,No
RM1466,5,2,0,2.0,No
RM003,0,0,0,0.0,Yes
RM048,1,0,0,0.0,No
RM060,7,5,0,7.0,No
RM079,5,2,0,2.0,No
RM101,3,2,0,2.0,Yes
RM105,1,0,0,0.0,No
RM116,5,3,1,3.0,No
RM196,8,7,1,7.0,No
RM223,10,8,0,7.0,No
RM227,9,8,5,8.0,No
RM249,3,1,0,,No
RM251,1,0,0,,Yes
RM274,5,4,0,1.0,No
RM276,5,2,0,2.0,No
RM286,17,12,5,7.0,No
RM295,4,2,1,2.0,No
RM341,6,2,0,4.0,No
RM354,7,7,6,7.0,No
RM365,5,4,0,3.0,No
RM387,18,7,12,17.0,No
RM390,1,0,0,1.0,No
RM399,13,11,10,7.0,No
RM465,6,5,1,2.0,No
RM468,9,5,7,7.0,No
RM473,6,5,4,3.0,No
RM487,3,0,1,0.0,No
RM507,10,7,7,8.0,No
RM523,1,0,0,0.0,No
RM578,5,3,4,3.0,No
RM629,1,0,0,0.0,No
RM649,5,4,0,0.0,No
RM653,10,0,0,9.0,No
